KEY,TAG,SPEAKER,TONE OF VOICE,ENGLISH,RUSSIAN,GERMAN,SPANISH,CHINESE,AUDIO FILE,STATUS,NOTE
MEG_READ_SOULS_INSCRIPTION,MAIN,Meg,,,"""Души которые должны были встретиться""... Что за бред.",,,,,DRAFT,[P01] Души которые должны были встретиться — читая надпись
MEG_FIND_KEY_IN_TRASH,MAIN,Meg,,,"Что ты делаешь в мусорке, малыш...",,,,,DRAFT,[P01] Души которые должны были встретиться — находя ключ
MEG_HEAR_SOMEONE_WHISPER,MAIN,Meg,,,Кто здесь...,,,,,DRAFT,[P01] Кусачки и Преследователь — хриплым шёпотом
MEG_SCARE_REACTION,MAIN,Meg,,Fuck! What the hell was that?!,"Что это, блять, было?!",,,,,DRAFT,[P01] Кусачки и Преследователь — после того как свет включился
JACK_CHECK_OKAY,MAIN,Jack,,"Meg? Talk to me, are you okay?","Мэг? Мэг, ты целая? Я тут шум слышу.",,,,,DRAFT,"[P01] Кусачки и Преследователь — рация, с помехами"
MEG_CONFIRM_OKAY_MOVING,MAIN,Meg,,,Я... да. Иду дальше.,,,,,DRAFT,[P01] Кусачки и Преследователь
MEG_READ_WHOSE_HOUSE,MAIN,Meg,,,Чей дом?..,,,,,DRAFT,[P01] Это Мой Дом — читая
MEG_PANIC_CURSE,MAIN,Meg,,,Чёрт. Чёрт-чёрт-чёрт.,,,,,DRAFT,[P01] Это Мой Дом
JACK_DEMAND_SITUATION,MAIN,Jack,,,"Мэг, что у тебя там?!",,,,,DRAFT,"[P01] Это Мой Дом — рация, паникует"
MEG_BEING_FOLLOWED,MAIN,Meg,,"I don't know... Damn it, I think something is following me.",Меня снова кто-то преследует!,,,,,DRAFT,[P01] Это Мой Дом
MEG_PUSH_FORWARD_CHANT,MAIN,Meg,,,Давай-давай-давай...,,,,,DRAFT,[P01] Прорыв на Улицу 01 — отодвигая мусор
MEG_CURSE_HIT,MAIN,Meg,,,Чёрт!,,,,,DRAFT,[P01] Прорыв на Улицу 01
MEG_EXHAUSTED_CURSE,MAIN,Meg,,,...твою мать.,,,,,DRAFT,"[P01] Прорыв на Улицу 01 — тяжело дыша, почти срывается"
JACK_CONFIRM_OUTSIDE_BREATHE,MAIN,Jack,,,"Мэг? Мэг, ты вышла? Я слышу что ты на улице. Дыши, дыши.",,,,,DRAFT,"[P01] Прорыв на Улицу 01 — рация, с облегчением"
MEG_CALM_DEEP_BREATH,MAIN,Meg,,,Спокойно... глубокий вдох и выдох. Продолжаем двигаться.,,,,,DRAFT,"[U01] БИТ 1 — Выход на улицу и Лабиринт Мешков — выбегая из переулка, тяжело дышит"
MEG_RADIO_ON_STREET,MAIN,Meg,,,"Джек, приём, я вышла на улицу.",,,,,DRAFT,[U01] БИТ 1 — Выход на улицу и Лабиринт Мешков — по рации
JACK_NAVIGATE_UP_STREET,MAIN,Jack,,,"Отлично, двигайся вверх по улице, там будет переход на Бейкер-стрит, оттуда до башни совсем немного.",,,,,DRAFT,[U01] БИТ 1 — Выход на улицу и Лабиринт Мешков
MEG_SURREAL_DAMN,MAIN,Meg,,,Чёрт...,,,,,DRAFT,[U01] БИТ 3 — Сюрреализм и Падающий Шкаф
MEG_REPORT_BLOCKAGE,MAIN,Meg,,,"Приём, Джек, впереди завал, улица перекрыта.",,,,,DRAFT,[U01] БИТ 4 — Тупик и Леденец
JACK_SUGGEST_LEFT_DETOUR,MAIN,Jack,,,"Всё в порядке, слева должен быть переход на следующую, попробуй пройти там.",,,,,DRAFT,[U01] БИТ 4 — Тупик и Леденец
MEG_DAMN_ALLEYS,MAIN,Meg,,,Чёртовы переходы...,,,,,DRAFT,[U01] БИТ 4 — Тупик и Леденец — с раздражением и страхом
